title,artist,isHot,popularity,album_popularity,genres,cluster
I Got A Seecret,Redman,0,2,12,"['east coast hip hop', 'hardcore hip hop', 'new jersey rap', 'wu fam']",2
Banda Yango,Tshala Muana,0,7,36,"['soukous', 'zilizopendwa']",2
Song For Love,Extreme,0,31,70,"['funk metal', 'glam metal', 'hard rock']",2
Iron Man,Mat Maneri,0,0,0,"['avant-garde jazz', 'free improvisation', 'free jazz', 'jazz violin', 'modern free jazz']",2
"I Constantly Thank God for Esteban - Live at Congress Theater, Chicago, IL, 2008",Panic! At The Disco,0,24,45,['pop'],2
Pai Keros,Christos Dantis,0,4,17,"['classic greek pop', 'greek pop', 'laiko']",2
Tuesday Afternoon (Forever Afternoon),The Moody Blues,0,47,54,"['album rock', 'art rock', 'british invasion', 'classic rock', 'country rock', 'flute rock', 'folk rock', 'mellow gold', 'progressive rock', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock']",2
The Anthem - Kemal Remix,Hatiras,0,0,0,"[""jackin' house""]",2
Rant Kanaria,Jope Ruonansuu,0,0,5,"['classic finnish pop', 'classic iskelma', 'iskelma', 'musiikkia lapista', 'suomi rock']",2
Clavelitos,Joselito,0,29,27,['copla'],2
Tomorrow's Girls - Live,U.K. Subs,0,0,1,"['hardcore punk', 'oi', 'punk', 'uk82']",2
O Dikos Sou DJ,Imiskoubria,0,6,34,['greek hip hop'],2
Little Brother,Grizzly Bear,0,23,41,"['art pop', 'baroque pop', 'brooklyn indie', 'indie rock', 'neo-synthpop', 'new weird america']",2
Polly,Nirvana,0,28,55,"['grunge', 'permanent wave', 'rock']",2
Be Aware,SOJA,0,22,48,"['east coast reggae', 'reggae']",2
The Chance,Julie Roberts,0,15,45,['country dawn'],2
Abbeville Fair,Seatrain,0,1,13,['flute rock'],2
My Life Is Totally Boring Without You,Cracker,0,3,20,"['alternative rock', 'permanent wave', 'pop rock', 'post-grunge']",2
Calliope,Al Di Meola,0,3,13,"['flamenco guitar', 'jazz fusion', 'jazz guitar']",2
Fire in the Hole,The Elders,0,8,10,['celtic rock'],2
So Different Blues,Mance Lipscomb,0,7,21,"['country blues', 'texas blues', 'traditional blues']",2
Cuantas madres llorando,Los Chunguitos,0,0,12,"['carnaval cadiz', 'pop flamenco', 'rumba', 'spanish pop']",2
Opening,Harald Kloser,0,9,42,['soundtrack'],2
Lived My Life,Singing Melody,0,2,32,"['deep ragga', 'lovers rock', 'old school dancehall', 'roots reggae']",2
Do You See the Light? (Looking For) (feat. Niki Haris) (Deep Ethno Mix),SNAP!,0,4,23,"['diva house', 'eurodance', 'german techno', 'hip house']",2
3500 (feat. Future & 2 Chainz),Travis Scott,0,67,84,"['rap', 'slap house']",2
Save My Soul - Cypher UK Radio Edit,Kristine W,0,0,16,['diva house'],2
