title,artist,isHot,popularity,album_popularity,genres
The Very Conscious,The Antripodean Collective,False,0,0,[]
Back a Yard,The In Crowd,False,25,35,"['freakbeat', 'lovers rock']"
South Bound Water,Lonnie Johnson,False,0,5,"['acoustic blues', 'blues', 'country blues', 'jazz blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'traditional blues']"
Ja Nun Hons Pris,Bryan Ferry,False,6,28,"['glam rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'solo wave', 'sophisti-pop']"
Things You Do To Me,Martin Sexton,False,8,26,['alternative americana']
O For a Thousand Tongues,Glad,False,12,29,['christian a cappella']
Tripping Billies,Dave Matthews Band,False,31,52,"['jam band', 'neo mellow', 'pop rock']"
Nobody In Mind,Joe Turner,False,0,0,[]
Run a Mile - Remastered,The Pineapple Thief,False,4,14,"['modern progressive rock', 'progressive metal']"
我有今日 - 2022 Live,Justin Lo,False,15,30,['cantopop']
All is One,ātman,False,9,22,[]
Washes Over Me - Wamdue09 Remix Extended,Heather Johnson,False,0,0,['soulful house']
Jag Vet En Dejlig Rosa,Traditional,False,0,0,"['gregorian chant', 'puirt-a-beul']"
Hannikaisen baari,Hector,False,21,18,"['classic finnish rock', 'classic iskelma', 'suomi rock']"
It Could All Get Blown Away,The Jeff Healey Band,False,0,3,"['blues', 'blues rock', 'canadian blues', 'country rock', 'electric blues', 'modern blues']"
Bob Your Head,Run–D.M.C.,False,7,24,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']"
Make It Up,Anthony Cruz,False,0,1,['salsa']
Le Roi A Fait Battre Tambour,Jacques Douai,False,0,0,['vintage chanson']
Dope Nose,Weezer,False,44,52,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']"
Never Alone,Walter Hawkins,False,19,32,['gospel']
Love Lifted Me,Eddy Raven,False,10,23,['classic country pop']
Working on the Highway,Bruce Springsteen,False,45,83,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
新不了情,Fiona Sit,False,9,31,['cantopop']
The Pig,Showbread,False,6,10,"['christian hardcore', 'christian punk']"
Anyone Who Had a Heart,Cal Tjader,False,0,0,"['cool jazz', 'jazz vibraphone', 'latin jazz']"
Nothing Matters Anymore,Showbread,False,4,13,"['christian hardcore', 'christian punk']"
Fortunate Fool,Jack Johnson,False,33,55,['neo mellow']
"Tu Vuo, Fa, L, Americano",Rita Chiarelli,False,2,3,['canadian blues']
